Dayahead Market MCPs.

01/01/2012,,All Hours-Ending are Eastern Standard Time (EST)

,,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
AMIL.ALSEYCTG4,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.ALSEYCTG5,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.AMAEAMAN,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.CC.CSTN,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.CC.MRDOSI,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.CLINTO51,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.COFFEEN1,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.COFFEEN2,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.COG_ACOGG,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.CSTN3,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.CSTNCTG1,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.CSTNCTG2,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.DEWITT,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.GBCCTG1,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.GBCCTG2,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.HAVANA86,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.HUTSONVL3,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.HUTSONVL4,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.IOW_AFRYT,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.MERDOSIA3,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.MERDOSIA4,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.MERDOSI_1,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.MERDOSI_2,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.NEWTON21,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.NEWTON22,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.NLT_ANEW_,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.PEARLG1,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.PEARLG2,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.PTWF,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.REI2CTGA,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.REI2CTGB,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
