Dayahead Market MCPs.

01/01/2012,,All Hours-Ending are Eastern Standard Time (EST)

,,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
ALTE.SHEB1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
ALTE.SHEB2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
ALTE.SHEEPSIN1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
ALTE.TOWNECT_1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
ALTE.TOWNECT_2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
ALTE.TOWNEST11,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
ALTE.TOWNEST12,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
ALTE.TURTLE0R4,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
AMIL.DUCKCRK1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
AMIL.EDWARDS1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
AMIL.EDWARDS2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
AMIL.EDWARDS3,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
AMIL.HENNEPN81,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
AMIL.HENNEPN82,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
AMIL.MEDINA,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
AMIL.OGLESB-4,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
AMIL.RSPWIND,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
DPC.ALMA123,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
DPC.ALMA4,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
DPC.ALMA5,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
DPC.EKM1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
DPC.EKM2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
DPC.FLAMBEAU,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
DPC.GENOA3,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
DPC.JPM,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.BLTPLTG3,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.BLTPLTG4,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.BLTPLTG5,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.BLTPLTG6,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.BLTPLTG7,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.DRR.DG01,Zone 5,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.DRR.DG02,Zone 5,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.DRR.DG03,Zone 5,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.DRR.DG04,Zone 5,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.DRR.DG05,Zone 5,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.DRR.DG06,Zone 5,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.DRR.DG07,Zone 5,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.DRR.DG08,Zone 5,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.DRR.DG09,Zone 5,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.DRR.DG10,Zone 5,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.JOUCOLUM1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.JOUCOLUM2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.LRRGTOT,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.WCCF,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
MGE.WMARIN034,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NIPS.CC.WHITN,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NIPS.MITCHP9,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NIPS.WHITNGT1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NIPS.WHITNGT2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NIPS.WHITNST,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.BAYFRN4,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.BAYFRN5,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.BAYFRN6,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.BIGFALL_A,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.CEDARFAL,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.CHPFAL_TR1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.CHPFAL_TR2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.CORNEL,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.FLAMBHYDRO,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.FRENCH1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.FRENCH2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.FRENCH3,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.FRENCH4,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.HATFIHAT1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.HOLCOM,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.JIMFL,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.MENOMOA,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.PKFLSFLAM,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.WHEATO1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.WHEATO2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.WHEATO3,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.WHEATO4,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.WHEATO5,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.WHEATO6,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.WISSOT_TR3,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
NSP.WISSOT_TR4,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
UPPC.ESCCT,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
UPPC.ESCST1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
UPPC.ESCST2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
UPPC.GLADSTONE,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
UPPC.PORTAGE,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
UPPC.VICTORIA1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
UPPC.VICTORIA2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
UPPC.WARDEN,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.BLUSKYGF,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.BUTRIDGE1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.CC.FOX1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.CC.FOX2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.CC.PORTW1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.CC.PORTW2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.CCDGTC1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.CCDGTC2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.CCDGTC3,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.CCDGTC4,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.CHART,Zone 5,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.EP,Zone 5,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.ERG1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.ERG2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.FOX_CT1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.FOX_CT2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.FOX_ST1_1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.FOX_ST1_2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.GARWND1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.GERMANOT1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.GERMANOT2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.GERMANOT3,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.GERMANOT4,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.GERMANOT5,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.GLACRHLS,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.JOU_WMONT,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.KAC_GE5CT,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.KAC_ISPP,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.LITTLEQUIN,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
